Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs
tr|A0A087X054|A0A087X054_HUMAN;sp|Q9Y4L1|HYOU1_HUMAN;tr|A0A494C039|A0A494C039_HUMAN;tr|E9PJ21|E9PJ21_HUMAN;tr|A0A087WWI4|A0A087WWI4_HUMAN;tr|K7EQK2|K7EQK2_HUMAN	tr|A0A087X054|A0A087X054_HUMAN;sp|Q9Y4L1|HYOU1_HUMAN;tr|A0A494C039|A0A494C039_HUMAN	3;3;3;1;1;1	3;3;3;1;1;1	3;3;3;1;1;1	tr|A0A087X054|A0A087X054_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A494C039|A0A494C039_HUMAN Hypoxia up-regulated pro	6	3	3	3	6	6	6	104.78	937	937;999;1000;656;677;678	0	21.095	52339000	3				1506	4237;4581;6834	True;True;True	4258;4603;6887	4969;5379;8089	5952;6462;9744	5952;6462;9744			-1;-1;-1;-1;-1;-1
sp|Q9Y4W6|AFG32_HUMAN;tr|K7EP56|K7EP56_HUMAN	sp|Q9Y4W6|AFG32_HUMAN	6;1	6;1	6;1	sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2	2	6	6	6	9.4	9.4	9.4	88.583	797	797;209	0	64.562	834970000	6				1507	1827;3260;3600;5363;7081;7461	True;True;True;True;True;True	1836;3278;3619;5404;7135;7517	2096;3786;4200;6339;8393;8837	2503;4547;5028;7621;10127;10672	2503;4547;5028;7621;10127;10672			-1;-1
sp|Q9Y512|SAM50_HUMAN	sp|Q9Y512|SAM50_HUMAN	5	5	5	sp|Q9Y512|SAM50_HUMAN Sorting and assembly machinery component 50 homolog OS=Homo sapiens OX=9606 GN=SAMM50 PE=1 SV=3	1	5	5	5	12.2	12.2	12.2	51.976	469	469	0	32.16	96656000	6				1508	2757;4249;5059;6476;7435	True;True;True;True;True	2769;4270;5095;6523;7491	3194;4981;5970;7655;8808	3818;3819;5968;7179;9212;10636	3819;5968;7179;9212;10636			-1
sp|Q9Y566|SHAN1_HUMAN;tr|H9KV90|H9KV90_HUMAN	sp|Q9Y566|SHAN1_HUMAN;tr|H9KV90|H9KV90_HUMAN	5;5	5;5	5;5	sp|Q9Y566|SHAN1_HUMAN SH3 and multiple ankyrin repeat domains protein 1 OS=Homo sapiens OX=9606 GN=SHANK1 PE=1 SV=2;tr|H9KV90|H9KV90_HUMAN SH3 and multiple ankyrin repeat domains protein 1 OS=Homo sapiens OX=9606 GN=SHANK1 PE=1 SV=1	2	5	5	5	3.9	3.9	3.9	224.96	2161	2161;2169	0	32.866	95279000	4				1509	65;401;544;555;3682	True;True;True;True;True	65;401;546;557;3701	71;450;617;629;4292	92;93;537;744;760;5140	92;537;744;760;5140			-1;-1
sp|Q9Y570|PPME1_HUMAN	sp|Q9Y570|PPME1_HUMAN	2	2	2	sp|Q9Y570|PPME1_HUMAN Protein phosphatase methylesterase 1 OS=Homo sapiens OX=9606 GN=PPME1 PE=1 SV=3	1	2	2	2	5.4	5.4	5.4	42.315	386	386	0	12.286	30482000	2				1510	2260;7405	True;True	2271;7461	2598;8777	3109;10596	3109;10596			-1
sp|Q9Y584|TIM22_HUMAN	sp|Q9Y584|TIM22_HUMAN	2	2	2	sp|Q9Y584|TIM22_HUMAN Mitochondrial import inner membrane translocase subunit Tim22 OS=Homo sapiens OX=9606 GN=TIMM22 PE=1 SV=2	1	2	2	2	10.3	10.3	10.3	20.031	194	194	0	13.401	40852000	4				1511	4069;4070	True;True	4090;4091	4779;4780	5727;5728;5729;5730	5727;5728			-1
sp|Q9Y5J7|TIM9_HUMAN;tr|G3V2F3|G3V2F3_HUMAN;tr|A0A1W2PRH9|A0A1W2PRH9_HUMAN;tr|A0A1W2PQS5|A0A1W2PQS5_HUMAN;tr|G3V502|G3V502_HUMAN	sp|Q9Y5J7|TIM9_HUMAN;tr|G3V2F3|G3V2F3_HUMAN;tr|A0A1W2PRH9|A0A1W2PRH9_HUMAN;tr|A0A1W2PQS5|A0A1W2PQS5_HUMAN;tr|G3V502|G3V502_HUMAN	5;4;4;4;4	5;4;4;4;4	5;4;4;4;4	sp|Q9Y5J7|TIM9_HUMAN Mitochondrial import inner membrane translocase subunit Tim9 OS=Homo sapiens OX=9606 GN=TIMM9 PE=1 SV=1;tr|G3V2F3|G3V2F3_HUMAN Mitochondrial import inner membrane translocase subunit Tim9 (Fragment) OS=Homo sapiens OX=9606 GN=TIMM9 PE=	5	5	5	5	50.6	50.6	50.6	10.378	89	89;44;60;61;66	0	32.161	218780000	5				1512	62;63;1896;4430;4431	True;True;True;True;True	62;63;1906;4452;4453	67;68;2173;5184;5185	88;89;2597;6214;6215	88;89;2597;6214;6215			-1;-1;-1;-1;-1
tr|G3XAN8|G3XAN8_HUMAN;sp|Q9Y5J9|TIM8B_HUMAN;tr|E9PIR3|E9PIR3_HUMAN	tr|G3XAN8|G3XAN8_HUMAN;sp|Q9Y5J9|TIM8B_HUMAN;tr|E9PIR3|E9PIR3_HUMAN	2;2;1	2;2;1	2;2;1	tr|G3XAN8|G3XAN8_HUMAN Mitochondrial import inner membrane translocase subunit Tim8 B OS=Homo sapiens OX=9606 GN=TIMM8B PE=1 SV=1;sp|Q9Y5J9|TIM8B_HUMAN Mitochondrial import inner membrane translocase subunit Tim8 B OS=Homo sapiens OX=9606 GN=TIMM8B PE=1 SV	3	2	2	2	19.4	19.4	19.4	11.155	98	98;83;32	0	12.831	46667000	2				1513	4485;6404	True;True	4507;6449	5255;7573	6302;9114	6302;9114			-1;-1;-1
sp|Q9Y5K8|VATD_HUMAN;tr|G3V559|G3V559_HUMAN;tr|G3V2S6|G3V2S6_HUMAN;tr|G3V3T8|G3V3T8_HUMAN;tr|G3V2V6|G3V2V6_HUMAN;tr|G3V341|G3V341_HUMAN;tr|H0YJS0|H0YJS0_HUMAN;tr|H0YJH8|H0YJH8_HUMAN;tr|H0YJ55|H0YJ55_HUMAN;tr|G3V5S7|G3V5S7_HUMAN	sp|Q9Y5K8|VATD_HUMAN;tr|G3V559|G3V559_HUMAN;tr|G3V2S6|G3V2S6_HUMAN;tr|G3V3T8|G3V3T8_HUMAN;tr|G3V2V6|G3V2V6_HUMAN	9;7;6;5;5;4;4;3;2;2	9;7;6;5;5;4;4;3;2;2	9;7;6;5;5;4;4;3;2;2	sp|Q9Y5K8|VATD_HUMAN V-type proton ATPase subunit D OS=Homo sapiens OX=9606 GN=ATP6V1D PE=1 SV=1;tr|G3V559|G3V559_HUMAN V-type proton ATPase subunit D OS=Homo sapiens OX=9606 GN=ATP6V1D PE=1 SV=1;tr|G3V2S6|G3V2S6_HUMAN V-type proton ATPase subunit D OS=Hom	10	9	9	9	37.7	37.7	37.7	28.262	247	247;179;192;86;148;72;119;153;44;59	0	58.286	481410000	10				1514	1108;1217;1926;2817;4602;4767;5710;5866;7292	True;True;True;True;True;True;True;True;True	1114;1223;1936;2829;4624;4796;5752;5908;7347	1284;1412;2205;3260;5400;5582;6760;6934;8642	1550;1700;2637;2638;3896;6488;6700;8121;8328;10432	1550;1700;2638;3896;6488;6700;8121;8328;10432			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
sp|Q9Y5L4|TIM13_HUMAN;tr|K7EIT2|K7EIT2_HUMAN	sp|Q9Y5L4|TIM13_HUMAN;tr|K7EIT2|K7EIT2_HUMAN	2;1	2;1	2;1	sp|Q9Y5L4|TIM13_HUMAN Mitochondrial import inner membrane translocase subunit Tim13 OS=Homo sapiens OX=9606 GN=TIMM13 PE=1 SV=1;tr|K7EIT2|K7EIT2_HUMAN Mitochondrial import inner membrane translocase subunit Tim13 OS=Homo sapiens OX=9606 GN=TIMM13 PE=1 SV=1	2	2	2	2	25.3	25.3	25.3	10.5	95	95;80	0	13.385	104900000	3				1515	7358;7784	True;True	7413;7841	8724;9210	10531;10532;11130	10532;11130			-1;-1
sp|Q9Y5R8|TPPC1_HUMAN	sp|Q9Y5R8|TPPC1_HUMAN	1	1	1	sp|Q9Y5R8|TPPC1_HUMAN Trafficking protein particle complex subunit 1 OS=Homo sapiens OX=9606 GN=TRAPPC1 PE=1 SV=1	1	1	1	1	5.5	5.5	5.5	16.831	145	145	0.0071848	6.0014	7816800	1				1516	6010	True	6053	7108	8558	8558			-1
sp|Q9Y617|SERC_HUMAN	sp|Q9Y617|SERC_HUMAN	1	1	1	sp|Q9Y617|SERC_HUMAN Phosphoserine aminotransferase OS=Homo sapiens OX=9606 GN=PSAT1 PE=1 SV=2	1	1	1	1	3	3	3	40.422	370	370	0.0021337	6.474	19305000	1				1517	5588	True	5630	6599	7940	7940			-1
sp|Q9Y639|NPTN_HUMAN;tr|Q9UFM8|Q9UFM8_HUMAN;tr|H3BQ94|H3BQ94_HUMAN	sp|Q9Y639|NPTN_HUMAN;tr|Q9UFM8|Q9UFM8_HUMAN;tr|H3BQ94|H3BQ94_HUMAN	8;8;5	8;8;5	8;8;5	sp|Q9Y639|NPTN_HUMAN Neuroplastin OS=Homo sapiens OX=9606 GN=NPTN PE=1 SV=2;tr|Q9UFM8|Q9UFM8_HUMAN Neuroplastin (Fragment) OS=Homo sapiens OX=9606 GN=NPTN PE=1 SV=2;tr|H3BQ94|H3BQ94_HUMAN Neuroplastin (Fragment) OS=Homo sapiens OX=9606 GN=NPTN PE=1 SV=1	3	8	8	8	19.8	19.8	19.8	44.387	398	398;308;152	0	73.65	880160000	8				1518	58;59;165;540;3313;4448;5716;7473	True;True;True;True;True;True;True;True	58;59;165;542;3331;4470;5758;7529	63;64;192;613;3850;5206;6767;8849	84;85;240;241;740;4616;6240;8128;10686	84;85;241;740;4616;6240;8128;10686			-1;-1;-1
sp|Q9Y696|CLIC4_HUMAN	sp|Q9Y696|CLIC4_HUMAN	2	2	2	sp|Q9Y696|CLIC4_HUMAN Chloride intracellular channel protein 4 OS=Homo sapiens OX=9606 GN=CLIC4 PE=1 SV=4	1	2	2	2	14.2	14.2	14.2	28.772	253	253	0	16.572	10168000	2				1519	923;2632	True;True	927;2644	1069;3043	1292;3640	1292;3640			-1
sp|Q9Y697|NFS1_HUMAN	sp|Q9Y697|NFS1_HUMAN	1	1	1	sp|Q9Y697|NFS1_HUMAN Cysteine desulfurase, mitochondrial OS=Homo sapiens OX=9606 GN=NFS1 PE=1 SV=3	1	1	1	1	3.5	3.5	3.5	50.195	457	457	0.0014631	6.668	10548000	2				1520	1504	True	1512	1746;1747	2083;2084	2083			-1
sp|Q9Y6A2|CP46A_HUMAN	sp|Q9Y6A2|CP46A_HUMAN	1	1	1	sp|Q9Y6A2|CP46A_HUMAN Cholesterol 24-hydroxylase OS=Homo sapiens OX=9606 GN=CYP46A1 PE=1 SV=1	1	1	1	1	4.4	4.4	4.4	56.82	500	500	0.002811	6.4045	15854000	1				1521	1780	True	1789	2045	2446	2446			-1
tr|E9PIE4|E9PIE4_HUMAN;sp|Q9Y6C9|MTCH2_HUMAN	tr|E9PIE4|E9PIE4_HUMAN;sp|Q9Y6C9|MTCH2_HUMAN	6;6	6;6	6;6	tr|E9PIE4|E9PIE4_HUMAN Mitochondrial carrier homolog 2 (Fragment) OS=Homo sapiens OX=9606 GN=MTCH2 PE=1 SV=8;sp|Q9Y6C9|MTCH2_HUMAN Mitochondrial carrier homolog 2 OS=Homo sapiens OX=9606 GN=MTCH2 PE=1 SV=1	2	6	6	6	32.8	32.8	32.8	28.549	262	262;303	0	99.878	766160000	11				1522	114;2231;3739;5727;6065;7224	True;True;True;True;True;True	114;2242;3759;5769;6110;7279	129;2558;4363;6779;7174;8562;8563;8564;8565;8566	163;164;3062;5229;8142;8635;10329;10330;10331;10332;10333;10334;10335	164;3062;5229;8142;8635;10333			-1;-1
sp|Q9Y6G9|DC1L1_HUMAN;tr|E9PHI6|E9PHI6_HUMAN;tr|C9JGM7|C9JGM7_HUMAN;tr|C9JLW1|C9JLW1_HUMAN	sp|Q9Y6G9|DC1L1_HUMAN;tr|E9PHI6|E9PHI6_HUMAN	5;3;1;1	5;3;1;1	5;3;1;1	sp|Q9Y6G9|DC1L1_HUMAN Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens OX=9606 GN=DYNC1LI1 PE=1 SV=3;tr|E9PHI6|E9PHI6_HUMAN Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens OX=9606 GN=DYNC1LI1 PE=1 SV=1	4	5	5	5	11.1	11.1	11.1	56.578	523	523;407;190;192	0	38.254	84520000	5				1523	221;222;3147;5231;6283	True;True;True;True;True	221;222;3165;5271;6328	254;255;3658;6172;7425	312;313;4382;7419;8930	312;313;4382;7419;8930			-1;-1;-1;-1
sp|Q9Y6I3|EPN1_HUMAN;tr|D6R907|D6R907_HUMAN;tr|D6RBI9|D6RBI9_HUMAN;tr|D6RBR6|D6RBR6_HUMAN;tr|D6RFG3|D6RFG3_HUMAN;tr|D6REL6|D6REL6_HUMAN;tr|I6L9I8|I6L9I8_HUMAN;sp|Q9H201|EPN3_HUMAN	sp|Q9Y6I3|EPN1_HUMAN;tr|D6R907|D6R907_HUMAN;tr|D6RBI9|D6RBI9_HUMAN;tr|D6RBR6|D6RBR6_HUMAN;tr|D6RFG3|D6RFG3_HUMAN;tr|D6REL6|D6REL6_HUMAN;tr|I6L9I8|I6L9I8_HUMAN;sp|Q9H201|EPN3_HUMAN	2;1;1;1;1;1;1;1	2;1;1;1;1;1;1;1	2;1;1;1;1;1;1;1	sp|Q9Y6I3|EPN1_HUMAN Epsin-1 OS=Homo sapiens OX=9606 GN=EPN1 PE=1 SV=2;tr|D6R907|D6R907_HUMAN Epsin-3 OS=Homo sapiens OX=9606 GN=EPN3 PE=4 SV=2;tr|D6RBI9|D6RBI9_HUMAN Epsin-3 (Fragment) OS=Homo sapiens OX=9606 GN=EPN3 PE=4 SV=1;tr|D6RBR6|D6RBR6_HUMAN Epsin	8	2	2	2	3.8	3.8	3.8	60.293	576	576;50;51;108;136;168;318;632	0	12.049	66670000	2				1524	4298;5018	True;True	4319;5054	5035;5901	6044;7094	6044;7094			-1;-1;-1;-1;-1;-1;-1;-1
sp|Q9Y6K8|KAD5_HUMAN;tr|E9PQQ8|E9PQQ8_HUMAN	sp|Q9Y6K8|KAD5_HUMAN	3;1	3;1	3;1	sp|Q9Y6K8|KAD5_HUMAN Adenylate kinase isoenzyme 5 OS=Homo sapiens OX=9606 GN=AK5 PE=1 SV=2	2	3	3	3	7.3	7.3	7.3	63.332	562	562;176	0	19.316	46569000	3				1525	2928;4187;4805	True;True;True	2940;4208;4834	3378;4915;5623	4046;5887;6746	4046;5887;6746			-1;-1
tr|C9JRP1|C9JRP1_HUMAN;tr|A0A0A0MST8|A0A0A0MST8_HUMAN;tr|E9PFN4|E9PFN4_HUMAN;sp|Q9Y6M7|S4A7_HUMAN;tr|H7C3C4|H7C3C4_HUMAN	tr|C9JRP1|C9JRP1_HUMAN;tr|A0A0A0MST8|A0A0A0MST8_HUMAN;tr|E9PFN4|E9PFN4_HUMAN;sp|Q9Y6M7|S4A7_HUMAN;tr|H7C3C4|H7C3C4_HUMAN	4;4;4;4;3	2;2;2;2;2	2;2;2;2;2	tr|C9JRP1|C9JRP1_HUMAN Anion exchange protein (Fragment) OS=Homo sapiens OX=9606 GN=SLC4A7 PE=1 SV=1;tr|A0A0A0MST8|A0A0A0MST8_HUMAN Anion exchange protein OS=Homo sapiens OX=9606 GN=SLC4A7 PE=1 SV=1;tr|E9PFN4|E9PFN4_HUMAN Anion exchange protein OS=Homo sap	5	4	2	2	3.1	1	1	118.46	1051	1051;1201;1210;1214;801	0	12.392	14342000	2				1526	1477;1520;3834;3835	False;False;True;True	1484;1528;3854;3855	1717;1764;4473;4474	2050;2107;5356;5357	2050;2107;5356;5357			-1;-1;-1;-1;-1
tr|A0A0C4DGH3|A0A0C4DGH3_HUMAN;sp|Q9Y6R0|NUMBL_HUMAN;tr|M0R0Q4|M0R0Q4_HUMAN;tr|M0QZV7|M0QZV7_HUMAN;tr|M0QXQ4|M0QXQ4_HUMAN;tr|M0QYC2|M0QYC2_HUMAN	tr|A0A0C4DGH3|A0A0C4DGH3_HUMAN;sp|Q9Y6R0|NUMBL_HUMAN;tr|M0R0Q4|M0R0Q4_HUMAN;tr|M0QZV7|M0QZV7_HUMAN;tr|M0QXQ4|M0QXQ4_HUMAN;tr|M0QYC2|M0QYC2_HUMAN	2;2;1;1;1;1	2;2;1;1;1;1	2;2;1;1;1;1	tr|A0A0C4DGH3|A0A0C4DGH3_HUMAN Numb-like protein OS=Homo sapiens OX=9606 GN=NUMBL PE=1 SV=1;sp|Q9Y6R0|NUMBL_HUMAN Numb-like protein OS=Homo sapiens OX=9606 GN=NUMBL PE=1 SV=1;tr|M0R0Q4|M0R0Q4_HUMAN Numb-like protein (Fragment) OS=Homo sapiens OX=9606 GN=NU	6	2	2	2	3.7	3.7	3.7	60.812	568	568;609;110;115;214;235	0	12.351	32645000	4				1527	4204;6270	True;True	4225;6315	4933;4934;7411	5908;5909;8914;8915	5909;8914			-1;-1;-1;-1;-1;-1
sp|Q9Y6R1|S4A4_HUMAN	sp|Q9Y6R1|S4A4_HUMAN	5	5	5	sp|Q9Y6R1|S4A4_HUMAN Electrogenic sodium bicarbonate cotransporter 1 OS=Homo sapiens OX=9606 GN=SLC4A4 PE=1 SV=1	1	5	5	5	6.8	6.8	6.8	121.46	1079	1079	0	36.318	402550000	6				1528	300;1018;1846;4313;5096	True;True;True;True;True	300;1022;1855;4334;5132	343;344;1179;2115;5050;6011	414;415;416;1420;2525;6061;7229	414;1420;2525;6061;7229			-1
tr|B5MCD5|B5MCD5_HUMAN;tr|B5MBY2|B5MBY2_HUMAN;sp|Q9Y6T7|DGKB_HUMAN	tr|B5MCD5|B5MCD5_HUMAN;tr|B5MBY2|B5MBY2_HUMAN;sp|Q9Y6T7|DGKB_HUMAN	2;2;2	2;2;2	2;2;2	tr|B5MCD5|B5MCD5_HUMAN Diacylglycerol kinase OS=Homo sapiens OX=9606 GN=DGKB PE=1 SV=1;tr|B5MBY2|B5MBY2_HUMAN Diacylglycerol kinase OS=Homo sapiens OX=9606 GN=DGKB PE=1 SV=1;sp|Q9Y6T7|DGKB_HUMAN Diacylglycerol kinase beta OS=Homo sapiens OX=9606 GN=DGKB PE	3	2	2	2	3.6	3.6	3.6	89.626	796	796;803;804	0	11.976	20104000	1				1529	2637;7586	True;True	2649;7643	3049;8979	3647;10845	3647;10845			-1;-1;-1
sp|Q9Y6V0|PCLO_HUMAN;tr|E9PE96|E9PE96_HUMAN	sp|Q9Y6V0|PCLO_HUMAN;tr|E9PE96|E9PE96_HUMAN	7;5	7;5	7;5	sp|Q9Y6V0|PCLO_HUMAN Protein piccolo OS=Homo sapiens OX=9606 GN=PCLO PE=1 SV=5;tr|E9PE96|E9PE96_HUMAN Protein piccolo OS=Homo sapiens OX=9606 GN=PCLO PE=1 SV=1	2	7	7	7	2.4	2.4	2.4	560.69	5142	5142;1217	0	45.039	152580000	6				1530	2165;3273;4136;5351;5751;6140;7758	True;True;True;True;True;True;True	2176;3291;4157;5392;5793;6185;7815	2488;3800;4860;6322;6807;7259;9179	2973;4562;5821;7601;8175;8734;11093	2973;4562;5821;7601;8175;8734;11093			-1;-1
tr|A0A087WWU8|A0A087WWU8_HUMAN;tr|D6R904|D6R904_HUMAN;tr|A0A494C0G0|A0A494C0G0_HUMAN;tr|Q5VU61|Q5VU61_HUMAN	tr|A0A087WWU8|A0A087WWU8_HUMAN;tr|D6R904|D6R904_HUMAN;tr|A0A494C0G0|A0A494C0G0_HUMAN	19;14;10;4	19;14;10;4	0;0;0;0	tr|A0A087WWU8|A0A087WWU8_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|D6R904|D6R904_HUMAN Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1;tr|A0A494C0G0|A0A494C0G0_HUMAN Tropomyosin alpha-3 chain (Fragment	4	19	19	0	53.7	53.7	0	26.42	227	227;95;87;49	0	165.84	1570800000	25				1531	425;584;585;860;1532;1533;2548;3154;3155;3164;3165;3468;3469;3712;3713;3788;4512;5647;6493	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	425;586;587;863;1540;1541;2560;3172;3173;3182;3183;3487;3488;3731;3732;3808;4534;5689;6541	477;666;667;992;1776;1777;2938;3666;3667;3676;3677;4050;4051;4052;4327;4328;4329;4330;4421;5285;6684;7679	570;799;800;1195;2119;2120;2121;3514;4390;4391;4392;4393;4407;4408;4409;4865;4866;4867;5186;5187;5188;5189;5298;6339;8035;9237	570;799;800;1195;2120;2121;3514;4391;4393;4407;4409;4865;4867;5186;5187;5298;6339;8035;9237			-1;-1;-1;-1
tr|A0A087WXX8|A0A087WXX8_HUMAN	tr|A0A087WXX8|A0A087WXX8_HUMAN	6	1	1	tr|A0A087WXX8|A0A087WXX8_HUMAN Succinate dehydrogenase [ubiquinone] iron-sulfur subunit, mitochondrial (Fragment) OS=Homo sapiens OX=9606 GN=SDHB PE=1 SV=1	1	6	1	1	53.7	8.1	8.1	14.143	123	123	0.00084175	10.443	234520000	1				1532	818;1069;2974;3335;4830;5919	False;False;False;False;True;False	820;1073;2986;3353;4861;5961	944;1235;3429;3875;5654;7004	1141;1485;4102;4649;4650;6784;8428	1141;1485;4102;4650;6784;8428			-1
tr|A0A0A0MRM8|A0A0A0MRM8_HUMAN;tr|A0A0D9SGC1|A0A0D9SGC1_HUMAN;sp|Q9UM54|MYO6_HUMAN;tr|E7EW20|E7EW20_HUMAN	tr|A0A0A0MRM8|A0A0A0MRM8_HUMAN;tr|A0A0D9SGC1|A0A0D9SGC1_HUMAN;sp|Q9UM54|MYO6_HUMAN;tr|E7EW20|E7EW20_HUMAN	8;7;7;7	8;7;7;7	8;7;7;7	tr|A0A0A0MRM8|A0A0A0MRM8_HUMAN Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6 PE=1 SV=1;tr|A0A0D9SGC1|A0A0D9SGC1_HUMAN Unconventional myosin-VI OS=Homo sapiens OX=9606 GN=MYO6 PE=1 SV=1;sp|Q9UM54|MYO6_HUMAN Unconventional myosin-VI OS=Homo sapien	4	8	8	8	9.6	9.6	9.6	145.01	1253	1253;1294;1294;1295	0	50.856	149690000	9				1533	1706;2406;3013;4361;4650;5646;6286;7283	True;True;True;True;True;True;True;True	1715;2418;3025;4383;4674;5688;6331;7338	1967;2768;3501;5108;5451;5452;6683;7428;8632	2356;3307;4192;6133;6548;6549;8034;8934;10420	2356;3307;4192;6133;6549;8034;8934;10420			-1;-1;-1;-1
tr|A0A0A0MS87|A0A0A0MS87_HUMAN;tr|G3V4S9|G3V4S9_HUMAN;tr|G3V5H8|G3V5H8_HUMAN;tr|G3V5G0|G3V5G0_HUMAN;tr|G3V392|G3V392_HUMAN;tr|G3V5B7|G3V5B7_HUMAN;tr|G3V271|G3V271_HUMAN;tr|G3V420|G3V420_HUMAN;tr|H7C0X0|H7C0X0_HUMAN;tr|G3V4S2|G3V4S2_HUMAN;tr|G3V285|G3V285_HUMAN;tr|G3V239|G3V239_HUMAN;tr|G3V5V9|G3V5V9_HUMAN;tr|G3V280|G3V280_HUMAN;tr|G3V5A6|G3V5A6_HUMAN;tr|G3V237|G3V237_HUMAN;tr|G3V3X3|G3V3X3_HUMAN;tr|G3V5G7|G3V5G7_HUMAN;tr|G3V2Y3|G3V2Y3_HUMAN;tr|G3V3C3|G3V3C3_HUMAN;tr|G3V5D7|G3V5D7_HUMAN;tr|G3V3X2|G3V3X2_HUMAN	tr|A0A0A0MS87|A0A0A0MS87_HUMAN;tr|G3V4S9|G3V4S9_HUMAN;tr|G3V5H8|G3V5H8_HUMAN	7;6;4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	7;6;4;2;2;2;2;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1	tr|A0A0A0MS87|A0A0A0MS87_HUMAN Protein NDRG2 OS=Homo sapiens OX=9606 GN=NDRG2 PE=1 SV=1;tr|G3V4S9|G3V4S9_HUMAN Protein NDRG2 (Fragment) OS=Homo sapiens OX=9606 GN=NDRG2 PE=1 SV=8;tr|G3V5H8|G3V5H8_HUMAN Protein NDRG2 (Fragment) OS=Homo sapiens OX=9606 GN=ND	22	7	7	1	32	32	6.2	39.544	356	356;300;273;224;221;174;167;108;181;160;153;92;149;144;142;137;133;127;122;120;108;150	0	126.64	317890000	16				1534	847;848;4595;4596;6485;7643;7686	True;True;True;True;True;True;True	850;851;4617;4618;6532;7700;7743	977;978;979;5393;5394;7665;7666;7667;7668;9051;9097;9098;9099;9100	1176;1177;1178;1179;1180;6480;6481;6482;9222;9223;9224;9225;10936;10937;10995;10996;10997;10998	1177;1180;6480;6482;9222;10937;10996			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1
tr|A0A0C4DGN6|A0A0C4DGN6_HUMAN;sp|Q9Y2X7|GIT1_HUMAN;tr|J3QRU8|J3QRU8_HUMAN;tr|J3QL89|J3QL89_HUMAN;tr|J3QLH1|J3QLH1_HUMAN	tr|A0A0C4DGN6|A0A0C4DGN6_HUMAN;sp|Q9Y2X7|GIT1_HUMAN;tr|J3QRU8|J3QRU8_HUMAN	4;3;2;1;1	4;3;2;1;1	4;3;2;1;1	tr|A0A0C4DGN6|A0A0C4DGN6_HUMAN ARF GTPase-activating protein GIT1 OS=Homo sapiens OX=9606 GN=GIT1 PE=1 SV=1;sp|Q9Y2X7|GIT1_HUMAN ARF GTPase-activating protein GIT1 OS=Homo sapiens OX=9606 GN=GIT1 PE=1 SV=2;tr|J3QRU8|J3QRU8_HUMAN ARF GTPase-activating prote	5	4	4	4	7.6	7.6	7.6	83.131	747	747;761;694;177;228	0	24.882	86203000	3				1535	838;2894;5473;6043	True;True;True;True	840;2906;5515;6087	966;3342;6468;7148;7149	1165;4004;7775;8604;8605	1165;4004;7775;8605			-1;-1;-1;-1;-1
tr|A0A0D9SF98|A0A0D9SF98_HUMAN	tr|A0A0D9SF98|A0A0D9SF98_HUMAN	13	2	0	tr|A0A0D9SF98|A0A0D9SF98_HUMAN Neural cell adhesion molecule 1 (Fragment) OS=Homo sapiens OX=9606 GN=NCAM1 PE=1 SV=1	1	13	2	0	28.3	6.7	0	38.612	357	357	0	11.797	130700000	2				1536	31;926;3635;3800;3801;4252;5323;6396;6705;6706;6844;6845;7308	False;False;False;False;False;False;False;False;True;True;False;False;False	31;930;3654;3820;3821;4273;5364;6441;6756;6757;6898;6899;7363	32;33;1072;4239;4436;4437;4984;6289;7565;7924;7925;8107;8108;8109;8661	41;42;1295;5074;5316;5317;5971;7564;9105;9544;9545;9767;9768;9769;10453	42;1295;5074;5316;5317;5971;7564;9105;9544;9545;9767;9769;10453			-1
