Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Intensity	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions	Taxonomy IDs	Sequence coverage Sample1-rep-1 [%]	Sequence coverage Sample1-rep-3 [%]	Sequence coverage Sample1-rep-4 [%]	Sequence coverage Sample2-rep-1 [%]	Sequence coverage Sample2-rep-3 [%]	Sequence coverage Sample2-rep-4 [%]	Sequence coverage Sample3-rep-2 [%]	Sequence coverage Sample3-rep-3 [%]	Sequence coverage Sample3-rep-4 [%]
sp|Q9Y4G6|TLN2_HUMAN;tr|H0YMT1|H0YMT1_HUMAN;tr|A0A1B0GVU7|A0A1B0GVU7_HUMAN;tr|H0YN01|H0YN01_HUMAN	sp|Q9Y4G6|TLN2_HUMAN;tr|H0YMT1|H0YMT1_HUMAN;tr|A0A1B0GVU7|A0A1B0GVU7_HUMAN	7;5;5;1	7;5;5;1	5;3;3;1	sp|Q9Y4G6|TLN2_HUMAN Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=4;tr|H0YMT1|H0YMT1_HUMAN Talin-2 (Fragment) OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=1;tr|A0A1B0GVU7|A0A1B0GVU7_HUMAN Talin-2 OS=Homo sapiens OX=9606 GN=TLN2 PE=1 SV=1	4	7	7	5	3.8	3.8	2.9	271.61	2542	2542;1471;1567;330	0	53.954	33350000	7				1512	270;640;1529;3999;5457;5582;5636	True;True;True;True;True;True;True	273;651;1550;4101;5580;5707;5762	334;775;1840;4950;6749;6894;6958	401;936;2256;6128;8348;8522;8601	401;936;2256;6128;8348;8522;8601			-1;-1;-1;-1	657.6059524	696.4416667	502.802381	693.2107143	760.9595238	813.3916667	672.9083333	439.3357143	1049.65
sp|Q9Y4G8|RPGF2_HUMAN;tr|A0A2R8Y661|A0A2R8Y661_HUMAN;tr|A0A2R8YGD3|A0A2R8YGD3_HUMAN;tr|H0Y8N8|H0Y8N8_HUMAN	sp|Q9Y4G8|RPGF2_HUMAN;tr|A0A2R8Y661|A0A2R8Y661_HUMAN;tr|A0A2R8YGD3|A0A2R8YGD3_HUMAN;tr|H0Y8N8|H0Y8N8_HUMAN	2;2;2;1	2;2;2;1	2;2;2;1	sp|Q9Y4G8|RPGF2_HUMAN Rap guanine nucleotide exchange factor 2 OS=Homo sapiens OX=9606 GN=RAPGEF2 PE=1 SV=1;tr|A0A2R8Y661|A0A2R8Y661_HUMAN Rap guanine nucleotide exchange factor 2 OS=Homo sapiens OX=9606 GN=RAPGEF2 PE=1 SV=1;tr|A0A2R8YGD3|A0A2R8YGD3_HUMAN 	4	2	2	2	2.9	2.9	2.9	167.41	1499	1499;1559;1679;189	0	12.801	2886500	2				1513	2417;6017	True;True	2460;6145	2908;7415	3597;9156	3597;9156			-1;-1;-1;-1	661.675	700.75	505.875	697.475	765.675	818.425	677.05	441.975	1056.2
tr|A0A087WY00|A0A087WY00_HUMAN;tr|F8W6H6|F8W6H6_HUMAN;sp|Q9Y4I1|MYO5A_HUMAN;tr|F8WE88|F8WE88_HUMAN;tr|G3V394|G3V394_HUMAN;tr|E7ERV5|E7ERV5_HUMAN;tr|O95317|O95317_HUMAN;tr|Q9UES5|Q9UES5_HUMAN;sp|Q9NQX4|MYO5C_HUMAN;sp|Q9ULV0|MYO5B_HUMAN;tr|H0YM93|H0YM93_HUMAN;tr|H0YMK3|H0YMK3_HUMAN	tr|A0A087WY00|A0A087WY00_HUMAN;tr|F8W6H6|F8W6H6_HUMAN;sp|Q9Y4I1|MYO5A_HUMAN;tr|F8WE88|F8WE88_HUMAN;tr|G3V394|G3V394_HUMAN;tr|E7ERV5|E7ERV5_HUMAN	23;23;23;22;21;12;6;5;2;2;1;1	23;23;23;22;21;12;6;5;2;2;1;1	23;23;23;22;21;12;6;5;2;2;1;1	tr|A0A087WY00|A0A087WY00_HUMAN Unconventional myosin-Va OS=Homo sapiens OX=9606 GN=MYO5A PE=1 SV=1;tr|F8W6H6|F8W6H6_HUMAN Unconventional myosin-Va OS=Homo sapiens OX=9606 GN=MYO5A PE=1 SV=2;sp|Q9Y4I1|MYO5A_HUMAN Unconventional myosin-Va OS=Homo sapiens OX=	12	23	23	23	16	16	16	212.2	1828	1828;1855;1855;1855;1853;585;231;228;1742;1848;106;269	0	208.92	352990000	35				1514	239;745;805;1292;1547;1864;2098;2147;2733;2983;2984;3130;3264;3265;3520;3844;4150;4324;5196;5547;5599;5613;5739	True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True;True	242;758;818;1310;1568;1893;2130;2179;2783;3036;3037;3185;3321;3322;3594;3938;4255;4431;5313;5672;5724;5738;5866	296;905;971;972;1555;1859;2226;2495;2547;3322;3621;3622;3785;3949;3950;4274;4275;4733;5135;5136;5137;5356;6418;6854;6916;6931;7082	357;1100;1185;1186;1896;2281;2282;2738;2739;3073;3132;3133;4099;4469;4470;4673;4881;4882;5268;5269;5270;5851;6348;6349;6350;6351;6619;7909;8474;8475;8549;8550;8551;8569;8570;8764	357;1100;1186;1896;2281;2738;3073;3132;4099;4469;4470;4673;4881;4882;5270;5851;6348;6619;7909;8475;8549;8569;8764			-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1	665.7440476	705.0583333	508.947619	701.7392857	770.3904762	823.4583333	681.1916667	444.6142857	1062.75
tr|A0A087X054|A0A087X054_HUMAN;sp|Q9Y4L1|HYOU1_HUMAN;tr|A0A494C039|A0A494C039_HUMAN	tr|A0A087X054|A0A087X054_HUMAN;sp|Q9Y4L1|HYOU1_HUMAN;tr|A0A494C039|A0A494C039_HUMAN	1;1;1	1;1;1	1;1;1	tr|A0A087X054|A0A087X054_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;sp|Q9Y4L1|HYOU1_HUMAN Hypoxia up-regulated protein 1 OS=Homo sapiens OX=9606 GN=HYOU1 PE=1 SV=1;tr|A0A494C039|A0A494C039_HUMAN Hypoxia up-regulated pro	3	1	1	1	1.3	1.3	1.3	104.78	937	937;999;1000	0.0091984	5.6901	6280000	1				1515	3088	TRUE	3143	3738	4615	4615			-1;-1;-1	669.8130952	709.3666667	512.0202381	706.0035714	775.1059524	828.4916667	685.3333333	447.2535714	1069.3
sp|Q9Y4W6|AFG32_HUMAN;tr|K7EP56|K7EP56_HUMAN	sp|Q9Y4W6|AFG32_HUMAN	9;1	9;1	9;1	sp|Q9Y4W6|AFG32_HUMAN AFG3-like protein 2 OS=Homo sapiens OX=9606 GN=AFG3L2 PE=1 SV=2	2	9	9	9	16.1	16.1	16.1	88.583	797	797;209	0	103.23	114170000	9				1516	1553;1737;2468;2594;3761;4014;5454;5717;5778	True;True;True;True;True;True;True;True;True	1574;1763;2511;2641;3852;4117;5577;5844;5905	1865;2078;2968;3155;4632;4975;6746;7059;7124	2289;2556;3665;3898;5728;6159;8345;8741;8814	2289;2556;3665;3898;5728;6159;8345;8741;8814			-1;-1	673.8821429	713.675	515.0928571	710.2678571	779.8214286	833.525	689.475	449.8928571	1075.85
tr|B8ZZF8|B8ZZF8_HUMAN;sp|Q9Y4Y9|LSM5_HUMAN	tr|B8ZZF8|B8ZZF8_HUMAN;sp|Q9Y4Y9|LSM5_HUMAN	1;1	1;1	1;1	tr|B8ZZF8|B8ZZF8_HUMAN U6 snRNA-associated Sm-like protein LSm5 OS=Homo sapiens OX=9606 GN=LSM5 PE=1 SV=1;sp|Q9Y4Y9|LSM5_HUMAN U6 snRNA-associated Sm-like protein LSm5 OS=Homo sapiens OX=9606 GN=LSM5 PE=1 SV=3	2	1	1	1	29.7	29.7	29.7	7.0202	64	64;91	0	13.032	12254000	1				1517	64	TRUE	64	75	86	86			-1;-1	677.9511905	717.9833333	518.1654762	714.5321429	784.5369048	838.5583333	693.6166667	452.5321429	1082.4
sp|Q9Y512|SAM50_HUMAN	sp|Q9Y512|SAM50_HUMAN	4	4	4	sp|Q9Y512|SAM50_HUMAN Sorting and assembly machinery component 50 homolog OS=Homo sapiens OX=9606 GN=SAMM50 PE=1 SV=3	1	4	4	4	13.6	13.6	13.6	51.976	469	469	0	32.232	38023000	5				1518	2059;3253;4970;5758	True;True;True;True	2091;3310;5084;5885	2454;3932;6122;7103	3030;4854;4855;7543;8791	3030;4854;7543;8791			-1	682.0202381	722.2916667	521.2380952	718.7964286	789.252381	843.5916667	697.7583333	455.1714286	1088.95
sp|Q9Y566|SHAN1_HUMAN;tr|H9KV90|H9KV90_HUMAN	sp|Q9Y566|SHAN1_HUMAN;tr|H9KV90|H9KV90_HUMAN	6;6	6;6	6;6	sp|Q9Y566|SHAN1_HUMAN SH3 and multiple ankyrin repeat domains protein 1 OS=Homo sapiens OX=9606 GN=SHANK1 PE=1 SV=2;tr|H9KV90|H9KV90_HUMAN SH3 and multiple ankyrin repeat domains protein 1 OS=Homo sapiens OX=9606 GN=SHANK1 PE=1 SV=1	2	6	6	6	3.4	3.4	3.4	224.96	2161	2161;2169	0	37.235	50772000	7				1519	72;340;731;1831;2699;4480	True;True;True;True;True;True	72;344;743;1859;2749;4590	84;419;886;2187;3285;5530	99;503;1075;1076;2690;4051;6826	99;503;1076;2690;4051;6826			-1;-1	686.0892857	726.6	524.3107143	723.0607143	793.9678571	848.625	701.9	457.8107143	1095.5
sp|Q9Y584|TIM22_HUMAN	sp|Q9Y584|TIM22_HUMAN	2	2	2	sp|Q9Y584|TIM22_HUMAN Mitochondrial import inner membrane translocase subunit Tim22 OS=Homo sapiens OX=9606 GN=TIMM22 PE=1 SV=2	1	2	2	2	10.3	10.3	10.3	20.031	194	194	0	14.518	51971000	5				1520	2977;2978	True;True	3030;3031	3614;3615;3616	4459;4460;4461;4462;4463	4460;4462			-1	690.1583333	730.9083333	527.3833333	727.325	798.6833333	853.6583333	706.0416667	460.45	1102.05
sp|Q9Y5A9|YTHD2_HUMAN	sp|Q9Y5A9|YTHD2_HUMAN	1	1	1	sp|Q9Y5A9|YTHD2_HUMAN YTH domain-containing family protein 2 OS=Homo sapiens OX=9606 GN=YTHDF2 PE=1 SV=2	1	1	1	1	2.2	2.2	2.2	62.333	579	579	0.0055556	5.8928	3172200	1				1521	2817	TRUE	2868	3425	4221	4221			-1	694.227381	735.2166667	530.4559524	731.5892857	803.3988095	858.6916667	710.1833333	463.0892857	1108.6
sp|Q9Y5J7|TIM9_HUMAN;tr|A0A1W2PRH9|A0A1W2PRH9_HUMAN;tr|A0A1W2PQS5|A0A1W2PQS5_HUMAN;tr|G3V502|G3V502_HUMAN;tr|G3V2F3|G3V2F3_HUMAN	sp|Q9Y5J7|TIM9_HUMAN;tr|A0A1W2PRH9|A0A1W2PRH9_HUMAN;tr|A0A1W2PQS5|A0A1W2PQS5_HUMAN;tr|G3V502|G3V502_HUMAN;tr|G3V2F3|G3V2F3_HUMAN	5;4;4;4;3	5;4;4;4;3	5;4;4;4;3	sp|Q9Y5J7|TIM9_HUMAN Mitochondrial import inner membrane translocase subunit Tim9 OS=Homo sapiens OX=9606 GN=TIMM9 PE=1 SV=1;tr|A0A1W2PRH9|A0A1W2PRH9_HUMAN Mitochondrial import inner membrane translocase subunit Tim9 OS=Homo sapiens OX=9606 GN=TIMM9 PE=1 S	5	5	5	5	56.2	56.2	56.2	10.378	89	89;60;61;66;44	0	40.064	231360000	7				1522	70;225;1468;3241;3242	True;True;True;True;True	70;228;1488;3298;3299	82;281;1753;1754;3917;3918	97;339;340;2140;2141;4835;4836	97;339;2141;4835;4836			-1;-1;-1;-1;-1	698.2964286	739.525	533.5285714	735.8535714	808.1142857	863.725	714.325	465.7285714	1115.15
tr|E9PIR3|E9PIR3_HUMAN;sp|Q9Y5J9|TIM8B_HUMAN;tr|G3XAN8|G3XAN8_HUMAN	tr|E9PIR3|E9PIR3_HUMAN;sp|Q9Y5J9|TIM8B_HUMAN;tr|G3XAN8|G3XAN8_HUMAN	2;2;1	2;2;1	2;2;1	tr|E9PIR3|E9PIR3_HUMAN Mitochondrial import inner membrane translocase subunit Tim8 B OS=Homo sapiens OX=9606 GN=TIMM8B PE=1 SV=1;sp|Q9Y5J9|TIM8B_HUMAN Mitochondrial import inner membrane translocase subunit Tim8 B OS=Homo sapiens OX=9606 GN=TIMM8B PE=1 SV	3	2	2	2	65.6	65.6	65.6	3.4488	32	32;83;98	0	12.638	19794000	2				1523	166;3288	True;True	168;3345	215;3974	261;4913	261;4913			-1;-1;-1	702.3654762	743.8333333	536.6011905	740.1178571	812.8297619	868.7583333	718.4666667	468.3678571	1121.7
tr|G3V2S6|G3V2S6_HUMAN;sp|Q9Y5K8|VATD_HUMAN;tr|H0YJS0|H0YJS0_HUMAN;tr|H0YJH8|H0YJH8_HUMAN;tr|G3V559|G3V559_HUMAN;tr|H0YJ55|H0YJ55_HUMAN;tr|G3V2V6|G3V2V6_HUMAN	tr|G3V2S6|G3V2S6_HUMAN;sp|Q9Y5K8|VATD_HUMAN;tr|H0YJS0|H0YJS0_HUMAN;tr|H0YJH8|H0YJH8_HUMAN;tr|G3V559|G3V559_HUMAN	3;3;2;2;2;1;1	3;3;2;2;2;1;1	3;3;2;2;2;1;1	tr|G3V2S6|G3V2S6_HUMAN V-type proton ATPase subunit D OS=Homo sapiens OX=9606 GN=ATP6V1D PE=1 SV=1;sp|Q9Y5K8|VATD_HUMAN V-type proton ATPase subunit D OS=Homo sapiens OX=9606 GN=ATP6V1D PE=1 SV=1;tr|H0YJS0|H0YJS0_HUMAN V-type proton ATPase subunit D (Fragm	7	3	3	3	29.2	29.2	29.2	21.921	192	192;247;119;153;179;44;148	0	36.321	80944000	5				1524	877;1483;5036	True;True;True	891;1504;5151	1065;1066;1773;6203	1302;1303;2168;2169;7643	1303;2169;7643			-1;-1;-1;-1;-1;-1;-1	706.4345238	748.1416667	539.6738095	744.3821429	817.5452381	873.7916667	722.6083333	471.0071429	1128.25
sp|Q9Y5L4|TIM13_HUMAN;tr|K7EIT2|K7EIT2_HUMAN	sp|Q9Y5L4|TIM13_HUMAN;tr|K7EIT2|K7EIT2_HUMAN	2;1	2;1	2;1	sp|Q9Y5L4|TIM13_HUMAN Mitochondrial import inner membrane translocase subunit Tim13 OS=Homo sapiens OX=9606 GN=TIMM13 PE=1 SV=1;tr|K7EIT2|K7EIT2_HUMAN Mitochondrial import inner membrane translocase subunit Tim13 OS=Homo sapiens OX=9606 GN=TIMM13 PE=1 SV=1	2	2	2	2	30.5	30.5	30.5	10.5	95	95;80	0	17.189	18836000	3				1525	685;5697	True;True	697;5824	836;7036	1015;8707;8708	1015;8707			-1;-1	710.5035714	752.45	542.7464286	748.6464286	822.2607143	878.825	726.75	473.6464286	1134.8
tr|H7C4H2|H7C4H2_HUMAN;sp|Q9Y5M8|SRPRB_HUMAN	tr|H7C4H2|H7C4H2_HUMAN;sp|Q9Y5M8|SRPRB_HUMAN	1;1	1;1	1;1	tr|H7C4H2|H7C4H2_HUMAN Signal recognition particle receptor subunit beta (Fragment) OS=Homo sapiens OX=9606 GN=SRPRB PE=1 SV=1;sp|Q9Y5M8|SRPRB_HUMAN Signal recognition particle receptor subunit beta OS=Homo sapiens OX=9606 GN=SRPRB PE=1 SV=3	2	1	1	1	12.5	12.5	12.5	17.502	160	160;271	0	20.663	10221000	1				1526	4290	TRUE	4397	5321	6579	6579			-1;-1	714.572619	756.7583333	545.8190476	752.9107143	826.9761905	883.8583333	730.8916667	476.2857143	1141.35
tr|Q5TI65|Q5TI65_HUMAN;tr|A0A087WVZ0|A0A087WVZ0_HUMAN;sp|Q9Y5U8|MPC1_HUMAN	tr|Q5TI65|Q5TI65_HUMAN;tr|A0A087WVZ0|A0A087WVZ0_HUMAN;sp|Q9Y5U8|MPC1_HUMAN	1;1;1	1;1;1	1;1;1	tr|Q5TI65|Q5TI65_HUMAN Mitochondrial pyruvate carrier OS=Homo sapiens OX=9606 GN=MPC1 PE=1 SV=1;tr|A0A087WVZ0|A0A087WVZ0_HUMAN Mitochondrial pyruvate carrier OS=Homo sapiens OX=9606 GN=MPC1 PE=1 SV=1;sp|Q9Y5U8|MPC1_HUMAN Mitochondrial pyruvate carrier 1 OS	3	1	1	1	12.1	12.1	12.1	7.5399	66	66;109;109	0.0086264	5.7137	18981000	1				1527	4609	TRUE	4720	5691	7021	7021			-1;-1;-1	718.6416667	761.0666667	548.8916667	757.175	831.6916667	888.8916667	735.0333333	478.925	1147.9
tr|C9JSU1|C9JSU1_HUMAN;sp|Q9Y608|LRRF2_HUMAN	tr|C9JSU1|C9JSU1_HUMAN;sp|Q9Y608|LRRF2_HUMAN	1;1	1;1	1;1	tr|C9JSU1|C9JSU1_HUMAN Leucine-rich repeat flightless-interacting protein 2 (Fragment) OS=Homo sapiens OX=9606 GN=LRRFIP2 PE=1 SV=1;sp|Q9Y608|LRRF2_HUMAN Leucine-rich repeat flightless-interacting protein 2 OS=Homo sapiens OX=9606 GN=LRRFIP2 PE=1 SV=1	2	1	1	1	6.7	6.7	6.7	25.981	225	225;721	0.00088574	7.6749	0	1				1528	3854	TRUE	3950	4747	5868	5868			-1;-1	722.7107143	765.375	551.9642857	761.4392857	836.4071429	893.925	739.175	481.5642857	1154.45
sp|Q9Y639|NPTN_HUMAN;tr|Q9UFM8|Q9UFM8_HUMAN;tr|H3BQ94|H3BQ94_HUMAN	sp|Q9Y639|NPTN_HUMAN;tr|Q9UFM8|Q9UFM8_HUMAN;tr|H3BQ94|H3BQ94_HUMAN	7;7;4	7;7;4	7;7;4	sp|Q9Y639|NPTN_HUMAN Neuroplastin OS=Homo sapiens OX=9606 GN=NPTN PE=1 SV=2;tr|Q9UFM8|Q9UFM8_HUMAN Neuroplastin (Fragment) OS=Homo sapiens OX=9606 GN=NPTN PE=1 SV=2;tr|H3BQ94|H3BQ94_HUMAN Neuroplastin (Fragment) OS=Homo sapiens OX=9606 GN=NPTN PE=1 SV=1	3	7	7	7	17.8	17.8	17.8	44.387	398	398;308;152	0	56.377	311090000	10				1529	67;68;158;454;2505;3258;4127	True;True;True;True;True;True;True	67;68;160;462;2548;3315;4230	79;80;199;552;3014;3015;3937;5109	94;95;242;243;660;3721;3722;3723;4863;6317	94;95;243;660;3722;4863;6317			-1;-1;-1	726.7797619	769.6833333	555.0369048	765.7035714	841.122619	898.9583333	743.3166667	484.2035714	1161
sp|Q9Y673|ALG5_HUMAN	sp|Q9Y673|ALG5_HUMAN	1	1	1	sp|Q9Y673|ALG5_HUMAN Dolichyl-phosphate beta-glucosyltransferase OS=Homo sapiens OX=9606 GN=ALG5 PE=1 SV=1	1	1	1	1	4	4	4	36.946	324	324	0.0016	6.5527	0	1				1530	4110	TRUE	4213	5091	6298	6298			-1	730.8488095	773.9916667	558.1095238	769.9678571	845.8380952	903.9916667	747.4583333	486.8428571	1167.55
sp|Q9Y698|CCG2_HUMAN	sp|Q9Y698|CCG2_HUMAN	1	1	1	sp|Q9Y698|CCG2_HUMAN Voltage-dependent calcium channel gamma-2 subunit OS=Homo sapiens OX=9606 GN=CACNG2 PE=1 SV=1	1	1	1	1	3.7	3.7	3.7	35.965	323	323	0.00089127	7.7414	16633000	1				1531	566	TRUE	575	682	816	816			-1	734.9178571	778.3	561.1821429	774.2321429	850.5535714	909.025	751.6	489.4821429	1174.1
tr|E9PIE4|E9PIE4_HUMAN;sp|Q9Y6C9|MTCH2_HUMAN	tr|E9PIE4|E9PIE4_HUMAN;sp|Q9Y6C9|MTCH2_HUMAN	5;5	5;5	5;5	tr|E9PIE4|E9PIE4_HUMAN Mitochondrial carrier homolog 2 (Fragment) OS=Homo sapiens OX=9606 GN=MTCH2 PE=1 SV=8;sp|Q9Y6C9|MTCH2_HUMAN Mitochondrial carrier homolog 2 OS=Homo sapiens OX=9606 GN=MTCH2 PE=1 SV=1	2	5	5	5	26.7	26.7	26.7	28.549	262	262;303	0	123.89	757920000	14				1532	102;1732;2754;4592;5588	True;True;True;True;True	101;102;1758;2805;4703;5713	123;124;2073;3352;5670;6902;6903;6904	149;150;2551;4139;6991;6992;8530;8531;8532;8533;8534;8535;8536;8537	150;2551;4139;6992;8531	234	22	-1;-1	738.9869048	782.6083333	564.2547619	778.4964286	855.2690476	914.0583333	755.7416667	492.1214286	1180.65
sp|Q9Y6G9|DC1L1_HUMAN	sp|Q9Y6G9|DC1L1_HUMAN	1	1	1	sp|Q9Y6G9|DC1L1_HUMAN Cytoplasmic dynein 1 light intermediate chain 1 OS=Homo sapiens OX=9606 GN=DYNC1LI1 PE=1 SV=3	1	1	1	1	2.3	2.3	2.3	56.578	523	523	0.002886	6.0919	7268700	1				1533	3904	TRUE	4004	4812	5947	5947			-1	743.0559524	786.9166667	567.327381	782.7607143	859.9845238	919.0916667	759.8833333	494.7607143	1187.2
sp|Q9Y6K8|KAD5_HUMAN;tr|E9PQQ8|E9PQQ8_HUMAN	sp|Q9Y6K8|KAD5_HUMAN;tr|E9PQQ8|E9PQQ8_HUMAN	2;1	2;1	2;1	sp|Q9Y6K8|KAD5_HUMAN Adenylate kinase isoenzyme 5 OS=Homo sapiens OX=9606 GN=AK5 PE=1 SV=2;tr|E9PQQ8|E9PQQ8_HUMAN Adenylate kinase isoenzyme 5 (Fragment) OS=Homo sapiens OX=9606 GN=AK5 PE=1 SV=1	2	2	2	2	5	5	5	63.332	562	562;176	0	11.884	6791100	2				1534	3054;5064	True;True	3109;5179	3701;6233	4572;7679	4572;7679			-1;-1	747.125	791.225	570.4	787.025	864.7	924.125	764.025	497.4	1193.75
tr|A0A0C4DGH3|A0A0C4DGH3_HUMAN;sp|Q9Y6R0|NUMBL_HUMAN;tr|M0R0Q4|M0R0Q4_HUMAN;tr|M0QZV7|M0QZV7_HUMAN;tr|M0QXQ4|M0QXQ4_HUMAN;tr|M0QYC2|M0QYC2_HUMAN	tr|A0A0C4DGH3|A0A0C4DGH3_HUMAN;sp|Q9Y6R0|NUMBL_HUMAN	3;3;1;1;1;1	3;3;1;1;1;1	3;3;1;1;1;1	tr|A0A0C4DGH3|A0A0C4DGH3_HUMAN Numb-like protein OS=Homo sapiens OX=9606 GN=NUMBL PE=1 SV=1;sp|Q9Y6R0|NUMBL_HUMAN Numb-like protein OS=Homo sapiens OX=9606 GN=NUMBL PE=1 SV=1	6	3	3	3	4.8	4.8	4.8	60.812	568	568;609;110;115;214;235	0	17.064	23108000	3				1535	824;3065;5136	True;True;True	837;3120;5253	992;3712;6324	1209;4586;7795	1209;4586;7795			-1;-1;-1;-1;-1;-1	751.1940476	795.5333333	573.472619	791.2892857	869.4154762	929.1583333	768.1666667	500.0392857	1200.3
sp|Q9Y6R1|S4A4_HUMAN;tr|A0A1W2PNW8|A0A1W2PNW8_HUMAN	sp|Q9Y6R1|S4A4_HUMAN	6;1	6;1	6;1	sp|Q9Y6R1|S4A4_HUMAN Electrogenic sodium bicarbonate cotransporter 1 OS=Homo sapiens OX=9606 GN=SLC4A4 PE=1 SV=1	2	6	6	6	7.9	7.9	7.9	121.46	1079	1079;171	0	85.785	171620000	9				1536	269;2924;3010;3141;3422;3801	True;True;True;True;True;True	272;2976;3063;3196;3197;3483;3893	332;333;3550;3652;3798;3799;4145;4679;4680	399;400;4384;4510;4689;4690;5119;5784;5785	400;4384;4510;4689;5119;5784	235	310	-1;-1	755.2630952	799.8416667	576.5452381	795.5535714	874.1309524	934.1916667	772.3083333	502.6785714	1206.85
tr|B5MCD5|B5MCD5_HUMAN;tr|B5MBY2|B5MBY2_HUMAN;sp|Q9Y6T7|DGKB_HUMAN	tr|B5MCD5|B5MCD5_HUMAN;tr|B5MBY2|B5MBY2_HUMAN;sp|Q9Y6T7|DGKB_HUMAN	1;1;1	1;1;1	1;1;1	tr|B5MCD5|B5MCD5_HUMAN Diacylglycerol kinase OS=Homo sapiens OX=9606 GN=DGKB PE=1 SV=1;tr|B5MBY2|B5MBY2_HUMAN Diacylglycerol kinase OS=Homo sapiens OX=9606 GN=DGKB PE=1 SV=1;sp|Q9Y6T7|DGKB_HUMAN Diacylglycerol kinase beta OS=Homo sapiens OX=9606 GN=DGKB PE	3	1	1	1	2.1	2.1	2.1	89.626	796	796;803;804	0.00085179	7.1442	6101100	2				1537	1990	TRUE	2021	2373	2930;2931	2930			-1;-1;-1	759.3321429	804.15	579.6178571	799.8178571	878.8464286	939.225	776.45	505.3178571	1213.4
sp|Q9Y6V0|PCLO_HUMAN;tr|E9PE96|E9PE96_HUMAN	sp|Q9Y6V0|PCLO_HUMAN;tr|E9PE96|E9PE96_HUMAN	6;3	6;3	6;3	sp|Q9Y6V0|PCLO_HUMAN Protein piccolo OS=Homo sapiens OX=9606 GN=PCLO PE=1 SV=5;tr|E9PE96|E9PE96_HUMAN Protein piccolo OS=Homo sapiens OX=9606 GN=PCLO PE=1 SV=1	2	6	6	6	2.3	2.3	2.3	560.69	5142	5142;1217	0	52.546	76515000	7				1538	908;1607;2474;4316;4584;4661	True;True;True;True;True;True	922;1631;2517;4423;4695;4772	1104;1927;2974;5348;5659;5751	1351;2367;2368;3673;6610;6979;7089	1351;2368;3673;6610;6979;7089			-1;-1	763.4011905	808.4583333	582.6904762	804.0821429	883.5619048	944.2583333	780.5916667	507.9571429	1219.95
tr|A0A087WT64|A0A087WT64_HUMAN	tr|A0A087WT64|A0A087WT64_HUMAN	1	1	1	tr|A0A087WT64|A0A087WT64_HUMAN Induced myeloid leukemia cell differentiation protein Mcl-1 OS=Homo sapiens OX=9606 GN=MCL1 PE=1 SV=1	1	1	1	1	5.1	5.1	5.1	21.226	197	197	0.0029412	6.1755	28920000	1				1539	2952	TRUE	3005	3586	4427	4427			-1	767.4702381	812.7666667	585.7630952	808.3464286	888.277381	949.2916667	784.7333333	510.5964286	1226.5
tr|A0A087WW91|A0A087WW91_HUMAN	tr|A0A087WW91|A0A087WW91_HUMAN	4	1	1	tr|A0A087WW91|A0A087WW91_HUMAN Synapsin-2 (Fragment) OS=Homo sapiens OX=9606 GN=SYN2 PE=1 SV=1	1	4	1	1	33	11.8	11.8	24.319	221	221	1	-2	1949200	1	+			1540	2151;5109;5113;5132	False;False;False;True	2183;5225;5226;5230;5249	2552;6284;6285;6286;6291;6315	3140;7743;7744;7745;7746;7747;7748;7755;7756;7784	3140;7747;7755;7784	61;62	86;92	-1	771.5392857	817.075	588.8357143	812.6107143	892.9928571	954.325	788.875	513.2357143	1233.05
